id,nombre,nombre_alternativo,url,url_alternativa,tipo,alcance,especializacion,tipos_publicacion,volumen_aprox,periodo_desde,periodo_hasta,idiomas,ciudad,pais,latitud,longitud,cobertura_geografica,accesibilidad,visualizacion,descarga,ocr,api,licencia,calidad_digitalizacion,interoperabilidad,institucion,tipo_institucion,financiamiento,temas_dominantes,contacto,fecha_relevamiento,estado_enlace,notas
REP-001,Ahira – Archivo Histórico de Revistas Argentinas,AHIRA,https://www.ahira.com.ar,NA,archivo,general,revistas culturales,revistas;suplementos;magazines,~120 títulos,1896,2021,español,Buenos Aires,Argentina,-34.6037,-58.3816,Argentina,abierta,PDF;visor propio,sí,parcial,no,dominio público; derechos reservados,alta,desconocida,Universidad de Buenos Aires,grupo de investigación,académico,literatura;arte;política,contacto@ahira.com.ar,2026-06-23,activo,Colección curada con estudios críticos
REP-002,Hemeroteca Digital – Biblioteca Nacional de España,BNE,https://hemerotecadigital.bne.es,NA,hemeroteca digital,general,,periódicos;revistas culturales;magazines,~2000 títulos,1683,1960,español;catalán;euskera,Madrid,España,40.4168,-3.7038,España,abierta,JPG;PDF,sí,sí,sí,dominio público,alta,OAI-PMH,Biblioteca Nacional de España,biblioteca nacional,público,literatura;política;cine,info@bne.es,2026-06-23,activo,Colección de revistas españolas
REP-003,América Lee - Cedinci,AméricaLee,https://americalee.cedinci.org/ ,NA,archivo,específico,revistas de izquierda,revistas; periódicos;suplementos;boletines,~300 títulos,1863,2011,español,Buenos Aires,Argentina,-34.6037,-58.3816,Latinoamérica,abierta,PDF;visor propio,sí,sí,no,dominio público; derechos reservados,alta,Dublin Core,Centro de Documentación e Investigación de la Cultura de Izquierdas (CeDInCI),otra,mixto,literatura;arte;política,americalee@cedinci.org,2026-06-24,activo,"Colección curada con estudios críticos, índices razonados y buscador"
REP-004,Digital Library of the Caribbean - Revistas,dLOC,https://www.dloc.com/results?filter=type:Revistas,https://www.dloc.com/,biblioteca digital,general,,revistas;periódicos;suplementos;boletines,~90 títulos,1838,2024,español,Miami,Estados Unidos,25.7617,-80.1918,Caribe,abierta,JP2;PDF;visor propio,sí,sí,sí,dominio público; derechos reservados,alta,OAI-PMH,Association of Caribbean University Research and Institutional Libraries (ACURIL),otra,desconocido,,dLOC@uflib.ufl.edu,2026-07-01,activo,Subcolección de revistas publicadas en los países caribeños. Recoge digitalizaciones de distintas instituciones aliadas. La colección de periódicos es más amplia.
REP-005,Revistas de la Edad de Plata,NA,http://www.edaddeplata.org/revistas_edaddeplata/,NA,proyecto académico,específico,revistas culturales,revistas,32 títulos,1917,1939,español,Madrid,España,40.4168,-3.7038,España,abierta,JPG;visor propio; transcripciones,parcial,no,no,dominio público,media,desconocida,La Residencia de Estudiantes,particular,público,literatura;arte,webmaster@edaddeplata.net,2026-07-01,activo,"Colección de revistas de la Edad de Plata, con transcripción y visualización interactiva."
REP-006,Biblioteca Virtual de Prensa Histórica,BVPH,https://prensahistorica.mcu.es/es/inicio/inicio.do,https://prensahistorica.mcu.es/arce/es/micrositios/inicio.do,biblioteca digital,general,,revistas;periódicos,~4000 títulos,1730,2025,español;catalán,Madrid,España,40.4168,-3.7038,Iberomamérica,abierta,JPG;PDF;visor propio,sí,sí,no,dominio público; derechos reservados,alta,OAI-PMH,Ministerio de Cultura de España,otra,público,literatura;arte;política,info.bvph@cultura.gob.es,2026-07-01,activo,"Portal de revistas iberomericanas, principalmente españolas, con distintas colecciones prensa temáticas."
REP-007,Arxiu de Revistes Catalanes Antigues,ARCA,https://arca.bnc.cat/arcabib_pro/es/inicio/inicio.do,NA,hemeroteca digital,específico,revistas catalanas,revistas,85 títulos,1771,2005,español;catalán,Barcelona,España,41.3851,2.1734,España,abierta,JPG;PDF;visor propio,sí,sí,no,dominio público; derechos reservados,alta,OAI-PMH,Biblioteca de Catalunya,biblioteca,público,literatura;arte;política,arca@bnc.cat,2026-07-01,activo,Portal cooperativo de publicaciones periódicas representativas de la cultura y sociedad catalana.
REP-008,Biblioteca Virtural Miguel de Cervantes - Hemeroteca,BVMC,https://www.cervantesvirtual.com/portales/hemeroteca/,https://www.cervantesvirtual.com/,hemeroteca digital,general,,revistas,~660 títulos,1791,2006,español;catalán;gallego;,Alicante,España,38.3452,-0.4815,Iberomamérica,abierta,PDF; HTML,sí,sí,no,dominio público; derechos reservados,alta,OAI-PMH,Univesidad de Alicante,universidad,público,literatura;arte;política;historia,bibliotecario@cervantesvirtual.com,2026-07-01,activo,Subportal de la BVMC dedicado a publicaciones periódicas publicadas en España y América. Ofrece datos abiertos enlazados (RDF) y un Enpoint de consulta SPARQL.
REP-009,Biblioteca Digital de la Comunidad de Madrid - Hemeroteca,NA,https://bibliotecavirtualmadrid.comunidad.madrid/bvmadrid_publicacion/es/es/publicaciones/listar_cabeceras.do,https://bibliotecavirtualmadrid.comunidad.madrid/bvmadrid_publicacion/es/inicio/inicio.do,hemeroteca digital,general,revistas madrileñas,revistas;periódicos;boletines,~280 títulos,1707,2018,español,Madrid,España,40.4168,-3.7038,España,abierta,JPG;PDF;visor propio,sí,no,no,dominio público; derechos reservados,alta,OAI-PMH,Biblioteca Regional de Madrid,biblioteca,público,literatura;arte;política;sociedad,procesos.digitales@madrid.org,2026-07-01,activo,Colección de revistas y periódicos editadas en Madrid.
REP-010,Biblioteca Nacional Digital - Hemeroteca,NA,https://www.bibliotecanacionaldigital.gob.cl/bnd/630/w3-channel.html,,hemeroteca digital,general,,revistas,128 títulos,1851,1946,español,Santiago de Chile,Chile,-33.4489,-70.6693,Chile,mixta,PDF;visor propio,parcial,sí,no,dominio público; derechos reservados,alta,OAI-PMH,Biblioteca Nacional de Chile,biblioteca nacional,público,,Formulario,2026-07-01,activo,Colección de revistas chilenas.
